"url","name","topics","skills","type","description"
"https://www.coursera.org/specializations/academic-skills","Academic Skills for University Success | Coursera","['Social Sciences', 'Education']","[]","specialization","b'Develop skills in information & digital literacy, problem-solving, critical thinking and communication.\\n\\nThis Specialization is a high-level academic skills course designed to increase your level of academic preparedness prior to commencement of your studies in an English-medium university. The course equips you for full participation and engagement with your studies by building awareness and understanding of the core values and expectations of academic culture.'"
"https://www.coursera.org/specializations/accounting","Introduction to Financial Accounting: The Accounting Cycle | Coursera","['Business', 'Finance']","['Practical Applications', 'Financial Statement', 'Practical Applications in Accounting', 'Accounting Cycle']","specialization","b'In this hands-on Specialization you will practice completing each step of the accounting cycle within Microsoft Excel, from analyzing and recording the first financial transactions of the year all the way through starting the new fiscal year.\\n\\nThe skills covered in this course include recording in the journal, posting in the ledgers, preparing financial statements, recording and posting closing entries, as well as preparing trial balances.'"
"https://www.coursera.org/specializations/accounting-data-analytics","Accounting Data Analytics | Coursera","['Data Science', 'Data Analysis']","['Machine Learning', 'Python Programming', 'Data Visualization (DataViz)', 'Data Preparation', 'Exploratory Data Analysis', 'Data Analysis', 'Predictive Analytics', 'Data Architecture', 'coding', 'Linear Regression', 'SQL', 'Text Analysis']","specialization","b""This specialization develops learners\xc3\xa2\xc2\x80\xc2\x99 analytics mindset and knowledge of data analytics tools and techniques. Specifically, this specialization develops learners' analytics skills by first introducing an analytic mindset, data preparation, visualization, and analysis using Excel. Next, this specialization develops learners' skills of using Python for data preparation, data visualization, data analysis, and data interpretation and the ability to apply these skills to issues relevant to accounting. This specialization also develops learners\xc3\xa2\xc2\x80\xc2\x99 skills in machine learning algorithms (using Python), including classification, regression, clustering, text analysis, time series analysis, and model optimization, as well as their ability to apply these machine learning skills to real-world problems."""
"https://www.coursera.org/specializations/active-optical-devices","Active Optical Devices | Coursera","['Physical Science and Engineering', 'Electrical Engineering']","['design lasers', 'design displays', 'design detectors', 'analyze lasers and detectors']","specialization","b'The courses in this specialization can also be taken for academic credit as ECEA 5605-5607, part of CU Boulder\xc3\xa2\xc2\x80\xc2\x99s Master of Science in Electrical Engineering degree. Enroll here.\\n\\nThis Active Optical Devices specialization is designed to help you gain complete understanding of active optical devices by clearly defining and interconnecting the fundamental physical mechanisms, device design principles, and device performance. You will study and gain active experience with light emitting semiconductor devices like light emitting diodes and lasers, nanophotonics, optical detectors, and displays.\\n\\nSpecialization Learning Outcomes:\\n\\n*Analyze and design semiconductor light sources, and surrounding optical systems\\n\\n*Analyze and design detection systems for LIDAR, microscopy and cameras\\n\\n*Analyze and design systems for optical device systems that can adapt to the environment at hand.\\n\\n*Use lasers and optical electronics in electronic systems through an understanding of the interaction of light and atoms, laser rate equations and noise in photo-detection.'"
"https://www.coursera.org/specializations/adapting-career-development","Adapting: Career Development | Coursera","['Business', 'Leadership and Management']","['Career Development', 'Stress Management', 'Resilience', 'Diversity (Business)', 'Cultural intelligence']","specialization","b""Organisations are undergoing enormous changes in their structures and processes as they seek to take advantage of innovations in technology, remain competitive in Globalising markets, and deal with the increasing diversity of their staff, customers, and supply chains. The four subjects in this specialisation will examine the personal implications of the changing organisational environment - the need to continuously adapt and learn, to manage your career, to build up resilience against stress, and to take your place as a global citizen.\\n\\nThe aim is to enable you to thrive in working in contemporary organsations. 'Improve yourself Always' addresses the need for you to continuously develop and seeks to improve your capacity to learn and adapt. 'Build Personal Resilience' helps you enhance your resilience in the face of the pressures you will experience in working in contemporary organisations. 'Your Career Your Life' guides you in taking more responsibility for mapping out and engaging in your career. 'Become a Global Citizen' discusses the need to see yourself as a citizen of the increasingly global world of work and provides insight into the strategies to deal with cultural diversity."""
"https://www.coursera.org/specializations/addressing-racial-health-inequity-in-healthcare","Addressing Racial Health Inequity in Healthcare | Coursera","['Health', 'Public Health']","[]","specialization","b'Recent events have once again put a spotlight on 400+ years of racism that has deeply entrenched our everyday structures, notably healthcare delivery. There is a significant need to provide a deep skillset to learners who have significant potential to change this system towards equity. Reducing racial and ethnic health disparities is core to the mission of public health. The healthcare delivery system contributes to these disparities in unique and complex ways.\\n\\nIn this MOOC series, we will learn about the sociological contributions and historical backdrop of why racial inequities exist in healthcare. We will also critically analyze the various causes of racial inequities in healthcare. And lastly, we will go through approaches to achieving equity in healthcare.'"
"https://www.coursera.org/specializations/administracion-de-empresas","AdministraciÃ³n de Empresas | Coursera","['Business', 'Business Essentials']","['Marketing', 'Liderazgo y gestiÃ³n', 'recursos humanos', 'Economy', 'Contabilidad', 'AdministraciÃ³n de negocios', 'Desarrollo humano', 'desarrollo profesional', 'negocios', 'Gerencia', 'GestiÃ³n', 'Estrategia']","specialization","b'Este Programa especializado est\xc3\x83\xc2\xa1 dirigido a quienes busquen profundizar en el campo de la administraci\xc3\x83\xc2\xb3n de empresas, recorriendo distintas \xc3\x83\xc2\xa1reas de esta disciplina. A trav\xc3\x83\xc2\xa9s de estos cursos te ir\xc3\x83\xc2\xa1s apropiando de diferentes saberes, entre ellos:\\n\\nComprender la importancia del desarrollo estrat\xc3\x83\xc2\xa9gico en la gesti\xc3\x83\xc2\xb3n de capital humano. Desarrollar el objetivo empresarial. Desarrollar sistemas \xc3\x83\xc2\xa1giles de gesti\xc3\x83\xc2\xb3n. Entender la relaci\xc3\x83\xc2\xb3n del marketing con el negocio, su lado estrat\xc3\x83\xc2\xa9gico y la relevancia del marketing operativo. Generar herramientas que permitan analizar y comprender apropiadamente el modo en el que el contexto econ\xc3\x83\xc2\xb3mico influye sobre el desempe\xc3\x83\xc2\xb1o de una empresa. Interpretar y utilizar la informaci\xc3\x83\xc2\xb3n contable y financiera como herramienta para el control de gesti\xc3\x83\xc2\xb3n y la toma de decisiones.'"
"https://www.coursera.org/specializations/administracion-proyectos","AdministraciÃ³n de Proyectos: Principios BÃ¡sicos | Coursera","['Business', 'Leadership and Management']","['Risk Management', 'Microsoft Project', 'Cost', 'Project', 'Project Management', 'Leadership', 'Planning', 'Project Planning', 'Management', 'Project Risk Management']","specialization","b'Planifica actividades y recursos, administra presupuestos y controla riesgos. Este Programa especializado cubre los procesos de iniciaci\xc3\x83\xc2\xb3n y planificaci\xc3\x83\xc2\xb3n de proyectos, definici\xc3\x83\xc2\xb3n y estimaci\xc3\x83\xc2\xb3n de presupuestos, as\xc3\x83\xc2\xad como la gesti\xc3\x83\xc2\xb3n de riesgos y administraci\xc3\x83\xc2\xb3n de cambios. En el proyecto final, desarrollado en asociaci\xc3\x83\xc2\xb3n con una empresa, aplicar\xc3\x83\xc2\xa1s las habilidades aprendidas al desarrollar los elementos de un proyecto vistos en los cursos previos.'"
"https://www.coursera.org/specializations/advanced-app-android","Advanced App Development in Android | Coursera","['Computer Science', 'Software Development']","['Interactive control', 'Android App Development', 'Opengl for Embedded Systems (OPENGL ES)', '3d computer graphics', 'Virtual Reality', 'Android Studio', '2d computer graphics', 'Android', 'Opengl++', 'VR', 'Sensors', 'Textures']","specialization","b'This Specialization is intended for learners with basic knowledge in Android app development seeking to develop knowledge in computer graphics and virtual reality in Android. Through the 4 courses, you will learn basic computer graphics theories and practical implementations of 3D graphics, OpenGL ES, and Virtual Reality on Android which will prepare you to design and develop immersive 3D and virtual reality Android app.'"
"https://www.coursera.org/specializations/advanced-data-science-ibm","Advanced Data Science with IBM | Coursera","['Data Science', 'Machine Learning']","['Data Science', 'Internet Of Things (IOT)', 'Deep Learning', 'Apache Spark', 'Statistics', 'Machine Learning', 'Long Short-Term Memory (ISTM)']","specialization","b""As a coursera certified specialization completer you will have a proven deep understanding on massive parallel data processing, data exploration and visualization, and advanced machine learning & deep learning. You'll understand the mathematical foundations behind all machine learning & deep learning algorithms. You can apply knowledge in practical use cases, justify architectural decisions, understand the characteristics of different algorithms, frameworks & technologies & how they impact model performance & scalability.\\n\\nIf you choose to take this specialization and earn the Coursera specialization certificate, you will also earn an IBM digital badge. To find out more about IBM digital badges follow the link ibm.biz/badging."""
"https://www.coursera.org/specializations/advanced-grammar-punctuation","Learn English: Advanced Grammar and Punctuation | Coursera","['Language Learning', 'Learning English']","['English Grammar', 'Punctuation', 'Grammar', 'English Language', 'Perfect Tenses']","specialization","b""This specialization follows our Learn English: Intermediate Grammar specialization and includes more advanced grammar concepts such as noun clauses and conditionals. You'll also learn how to blend verb tenses effectively and how to punctuate sentences correctly. This specialization is useful for non-native English speakers who want to improve their fluency or native speakers who want to improve their accuracy in using English for academic or professional purposes."""
"https://www.coursera.org/specializations/advanced-machine-learning-tensorflow-gcp","Advanced Machine Learning on Google Cloud | Coursera","['Data Science', 'Machine Learning']","['Tensorflow', 'Convolutional Neural Network', 'Estimator', 'Advanced Machine Learning']","specialization","b'This 5-course specialization focuses on advanced machine learning topics using Google Cloud Platform where you will get hands-on experience optimizing, deploying, and scaling production ML models of various types in hands-on labs. This specialization picks up where \xc3\xa2\xc2\x80\xc2\x9cMachine Learning on GCP\xc3\xa2\xc2\x80\xc2\x9d left off and teaches you how to build scalable, accurate, and production-ready models for structured data, image data, time-series, and natural language text. It ends with a course on building recommendation systems. Topics introduced in earlier courses are referenced in later courses, so it is recommended that you take the courses in exactly this order.'"
"https://www.coursera.org/specializations/advanced-python-scripting-for-cybersecurity","Advanced Python Scripting for Cybersecurity | Coursera","['Information Technology', 'Security']","[]","specialization","b'Python is one of the most popular and widely-used programming languages in the world, due to its high usability and large collection of libraries. This learning path provides an application-driven introduction to using advanced Python features for offensive and defense cybersecurity. This path demonstrates how some of the advanced functionality in Python packages can be applied to cybersecurity and how to automate multi-stage attack chains and defensive operations using Python. This Advanced Python Scripting for Cybersecurity Skills Path builds on the Python for Cybersecurity skills path to demonstrate advanced applications of Python for cybersecurity.'"
"https://www.coursera.org/specializations/advanced-spacecraft-dynamics-control","Advanced Spacecraft Dynamics and Control | Coursera","['Physical Science and Engineering', 'Physics and Astronomy']","['constrained multi-body system', 'variable speed CMG', 'Reaction Wheels', 'momentum based attitude control', 'Analytical mechanics', 'Variable Speed Control Moment Gyroscopes', 'Control Moment Gyroscopes (CMGs)', 'Nonlinear Attitude Control', 'RW Performance Envelopes', 'Lagrangian Dynamics', 'holonomic constraints', ""D'Alembert's Principle""]","specialization","b'This Specialization on advanced spacecraft dynamcis and control is intended for experienced spacecraft dynamics and GNC engineers and researchers. It is assumed the viewer has completed the prior spacecraft dynamics specialization already. Through 3 courses we cover the topics of momentum-based attitude dynamics and control, we derive analytical methods to model complex spacecraft systems, and finally conclude with a captstone project course. After this course you will be prepared to model the dynamics of spacecraft systems with time varying components (reacton wheels, CMS, deployable panels, etc.).'"
"https://www.coursera.org/specializations/advanced-statistics-data-science","Advanced Statistics for Data Science | Coursera","['Math and Logic', 'Math and Logic']","['R Programming', 'Linear Regression', 'Statistical Hypothesis Testing', 'Statistics', 'Linear Algebra', 'Confidence Interval', 'Biostatistics']","specialization","b""Fundamental concepts in probability, statistics and linear models are primary building blocks for data science work. Learners aspiring to become biostatisticians and data scientists will benefit from the foundational knowledge being offered in this specialization. It will enable the learner to understand the behind-the-scenes mechanism of key modeling tools in data science, like least squares and linear regression.\\n\\nThis specialization starts with Mathematical Statistics bootcamps, specifically concepts and methods used in biostatistics applications. These range from probability, distribution, and likelihood concepts to hypothesis testing and case-control sampling.\\n\\nThis specialization also linear models for data science, starting from understanding least squares from a linear algebraic and mathematical perspective, to statistical linear models, including multivariate regression using the R programming language. These courses will give learners a firm foundation in the linear algebraic treatment of regression modeling, which will greatly augment applied data scientists' general understanding of regression models.\\n\\nThis specialization requires a fair amount of mathematical sophistication. Basic calculus and linear algebra are required to engage in the content."""
